,Pelvis_X_m,Pelvis_X_sd,Pelvis_Y_m,Pelvis_Y_sd,Pelvis_Z_m,Pelvis_Z_sd,Hip_X_m,Hip_X_sd,Hip_Y_m,Hip_Y_sd,Hip_Z_m,Hip_Z_sd,Knee_Z_m,Knee_Z_sd,Ankle_Z_m,Ankle_Z_sd,Foot_Y_m,Foot_Y_sd,HipMoment_Z_m,HipMoment_Z_sd,KneeMoment_Z_m,KneeMoment_Z_sd,AnkleMoment_Z_m,AnkleMoment_Z_sd,SupportMoment_Z_m,SupportMoment_Z_sd
0,10.3816675,5.69592586105783,0.5512412860714286,1.5742043720383052,5.817516827380954,2.5719884154101362,30.735808333333342,6.9415396801493126,-0.39070269880952374,3.100566462217472,-2.944053948452381,4.893254282593918,0.9154342892857142,4.143282274901668,1.7549384940476196,2.9224153511964155,9.794771309523812,4.82280039696603,0.48002945238095246,0.14822706226234303,-0.2716758678571429,0.08943380266596278,0.005448946345238096,0.007769076170592546,0.21380253086904766,0.07918251040211172
2,10.298286785714287,5.681218039163937,0.8812646345238097,1.6711165240099657,6.105470511904762,2.504181160348147,30.60255714285714,7.016340294370788,0.07036988928571443,2.9930334823010165,-2.6783722261904765,4.828202055961436,3.455166139285715,4.2177309897720745,0.6146694785714283,2.97243080812661,9.50226142857143,4.641338992024624,0.4752814285714286,0.1446286061671357,-0.19582265000000004,0.08446127424112132,-0.030773957261904763,0.01576187289644958,0.24868482130952388,0.08730082307503029
4,10.205043452380952,5.649184331834076,1.4359643238095237,1.7082999332481807,6.120221857142856,2.368721433258594,30.13126904761905,7.125762319398196,0.8501310309523809,2.867672363722848,-2.0227370940476184,4.710368656382651,5.696044142857143,4.654197840133083,-2.538144603571428,3.015459259310407,9.150810904761904,4.494048240972146,0.41763423809523803,0.10756728242157963,-0.08369901095238094,0.07656139056705843,-0.0995804095238095,0.031316919267256445,0.2343548176190476,0.09771978551583983
6,10.054094095238097,5.669012792544605,2.212990465476191,1.7081210150051058,5.776469916666667,2.205756758615283,29.66420357142858,7.353789124831289,1.8607784404761907,2.785402966286293,-1.1061860678571431,4.639632163208351,8.256259988095238,5.419925896578248,-4.437491190476191,3.0337068606539437,8.436087714285716,4.434800588114348,0.45180779761904766,0.1307490324877723,0.022926623928571428,0.10834392367485945,-0.12522998011904765,0.0443130232827318,0.34950444142857146,0.16965245958433314
8,9.780459440476193,5.727368816176241,3.0816958761904765,1.7504230828453358,5.148902535714287,2.0292404621954976,29.37289761904762,7.634763365875922,3.0557669238095237,2.7567584340078564,-0.5214599246428572,4.754510367000638,11.650545773809526,6.077125562261909,-3.5968988369047628,3.0718141518693844,7.662276988095239,4.354557094717267,0.535190523809524,0.18790864686311337,0.19940705190476193,0.14385923720292756,-0.09729751392857144,0.0523750688923842,0.6373000617857144,0.2823093823014452
10,9.445952559523809,5.769429885583037,3.8897348928571427,1.8691819013683255,4.459783029761904,1.8416842812416037,28.661792857142864,7.839181441196303,4.380121595238096,2.802362982443358,-0.44355747619047653,4.920638553209033,14.408243404761905,6.44008877407233,-1.5694930250000003,3.096312035954618,7.186919122619047,4.274683725697303,0.6213513095238097,0.22621892486668943,0.3372070241666667,0.18663334691752642,-0.044562469404761905,0.05500841371717127,0.9139958642857143,0.3560051829158668
12,9.181421928571428,5.775088724841557,4.543897154761906,2.0075347884760806,3.943273392857143,1.6733213697447427,27.15303452380952,7.909857456468158,5.6032758535714295,2.9394600522814454,-0.5802992321428571,4.971274270445293,15.617298551583334,6.632348170947164,0.4555457758333335,3.1518573934263485,6.959777214285715,4.242065822119521,0.5700271309523809,0.22557804944371249,0.41605854428571426,0.21749498896464073,0.011561793702380951,0.058053597102664285,0.9976474689404763,0.3841770301268039
14,9.047732246428572,5.763279923198276,4.991438378571429,2.0766346309811516,3.703516190476191,1.5674861886431835,25.108192142857142,7.888455046265948,6.507080741666665,3.1009179509259206,-0.7878578535714285,4.923001869321816,15.566083404761903,6.777804984605506,2.1581602083333333,3.2179129362775374,6.883434380952381,4.231268035617776,0.4457082999999999,0.20501927785331614,0.4378698733690477,0.22872940719296206,0.067026675,0.06668730120029824,0.9506048483690477,0.3887517027559279
16,9.017018904761906,5.751855340459802,5.171363535714286,2.0322515714774867,3.687364369047619,1.520362615114619,22.9135630952381,7.881212346490272,7.010148155952382,3.1880572192826566,-1.1613149404761907,4.918114107992811,14.899951530952386,6.915005473948245,3.5635722738095246,3.2640382129501164,6.890463702380952,4.2249984086579735,0.343894136904762,0.19754451219407523,0.4140081871428572,0.22160143665122256,0.12392220273809526,0.08078008636210926,0.8818245267857145,0.3933480029941253
18,9.061930559523809,5.745556806168453,5.037045666666667,1.9102379622849242,3.7458323571428567,1.5016834440139388,20.767999047619046,7.925783981396339,7.140750678571428,3.160404471675603,-1.7340989285714286,4.948975669423413,14.016311678571428,7.0122312058726886,4.7400619285714285,3.2696528890950383,6.930678964285714,4.224682246780712,0.2734174201190476,0.1944505524142786,0.3608625123333334,0.2044218685432854,0.1832591325,0.0965057466176214,0.8175390649523809,0.38516405006526994
20,9.176793214285714,5.74271576497267,4.613774345238094,1.7721168567265833,3.7261511428571428,1.5174235176879682,18.69808761904762,7.952726550956171,7.000003178571427,3.0273355364134007,-2.411625047619048,4.8794079009498,13.023427214285713,6.99624666297973,5.730568302738095,3.2249185721744986,6.9778729464285725,4.23194303934766,0.21016800595238094,0.17948162250425195,0.2923495095238095,0.1831702871240745,0.24395369880952383,0.11002991310941561,0.7464712142857144,0.35460942634938447
