,Pelvis_X_m,Pelvis_X_sd,Pelvis_Y_m,Pelvis_Y_sd,Pelvis_Z_m,Pelvis_Z_sd,Hip_X_m,Hip_X_sd,Hip_Y_m,Hip_Y_sd,Hip_Z_m,Hip_Z_sd,Knee_X_m,Knee_X_sd,Knee_Y_m,Knee_Y_sd,Knee_Z_m,Knee_Z_sd,Ankle_X_m,Ankle_X_sd,Ankle_Y_m,Ankle_Y_sd,Ankle_Z_m,Ankle_Z_sd,Foot_X_m,Foot_X_sd,Foot_Y_m,Foot_Y_sd,Foot_Z_m,Foot_Z_sd,HipMoment_X_m,HipMoment_X_sd,HipMoment_Y_m,HipMoment_Y_sd,HipMoment_Z_m,HipMoment_Z_sd,KneeMoment_X_m,KneeMoment_X_sd,KneeMoment_Y_m,KneeMoment_Y_sd,KneeMoment_Z_m,KneeMoment_Z_sd,AnkleMoment_X_m,AnkleMoment_X_sd,AnkleMoment_Y_m,AnkleMoment_Y_sd,AnkleMoment_Z_m,AnkleMoment_Z_sd,SupportMoment_X_m,SupportMoment_X_sd,SupportMoment_Y_m,SupportMoment_Y_sd,SupportMoment_Z_m,SupportMoment_Z_sd
0,0.5817332142857142,1.2649179486001443,5.050380357142858,3.079076388373671,10.481388214285715,6.926715495303065,0.9073589285714287,2.9367732166386418,-4.19834642857143,5.766778764813304,31.438908571428577,8.768512146370549,0.9253714285714285,3.171651798447901,-19.13325892857143,7.892414467070504,0.6606539285714289,3.6780106037331874,3.9370557142857145,5.059911503386907,8.135886071428573,4.29644854580912,2.2560892857142862,3.9196181692573733,-5.991075000000002,3.1237988272725303,10.84713035714286,5.8024494575681205,23.71483571428572,3.8903129865434583,-0.07931928571428573,0.0629620400857393,0.003447142857142858,0.017438140748005586,0.4832060714285716,0.14357991746998192,-0.02300285714285715,0.03778862871869739,0.002578928571428572,0.006957158786395556,-0.26282571428571433,0.06821974736262061,0.001693571428571429,0.0023674624751891154,0.004009285714285714,0.004545331441389936,0.005360000000000001,0.007907827913383821,-0.10062857142857144,0.0976903840915576,0.010035357142857146,0.024957623119714636,0.2257403571428572,0.09779304374868322
2,0.9041539285714284,1.253606396376192,5.305434642857143,3.118730589304457,10.349519642857143,6.843799568970179,1.3379782142857142,2.9134584884671977,-3.788179642857142,5.812458900452698,31.169932142857146,8.770687304348309,1.1724064285714288,3.238498841355257,-19.65229107142857,7.883150021306932,3.2910514285714285,3.9431414121871784,3.3430692857142854,4.955940849506494,8.202717500000002,4.092046404148752,1.2124450000000002,3.822526725925083,-6.33799642857143,3.0552031590836526,10.272334642857144,5.48138666439274,19.75909035714286,3.622606388695992,-0.03728821428571428,0.062152448884458006,0.0016025,0.020611155469980144,0.48778250000000006,0.1237602133741821,0.004698571428571429,0.04081067679063765,0.003451428571428572,0.006007523945523977,-0.2026575,0.07687844243074207,-0.008023214285714285,0.00959256234460662,-0.0065400000000000015,0.006397770344785391,-0.022207142857142852,0.016991601173508057,-0.04061285714285715,0.0938037669145682,-0.0014860714285714275,0.024254758785931807,0.26291785714285715,0.07740534544039744
4,1.475556785714286,1.2208509340692335,5.412683214285714,3.0324551682193137,10.216652142857143,6.736545230765462,2.05798,2.904234359433057,-3.0834832142857147,5.702418018868638,30.46671642857143,8.977328184828762,1.432545357142857,3.288639008993669,-20.38839464285714,7.907150062593415,5.305675714285714,4.728843318918915,2.3166421428571433,4.7539436078261605,8.11498107142857,3.929175089226832,-2.258876428571429,3.592069480840573,-6.9194675000000005,2.9893184218671696,9.478312499999998,5.296789727995174,13.44559607142857,2.8000221881649567,0.08117285714285714,0.07649068265819363,0.0016232142857142845,0.023435200808837747,0.40355285714285705,0.10939335907832594,0.06802499999999999,0.06862061405348192,-0.0010339285714285717,0.006676843501861613,-0.1001685714285714,0.07858240161738532,-0.026411071428571426,0.01813119848159853,-0.029405357142857136,0.017222337738249403,-0.08091035714285714,0.034368979107076154,0.1227867857142857,0.14107008649013852,-0.02881607142857143,0.033492187273737754,0.2224739285714286,0.10166304424947853
6,2.2972785714285715,1.168656768209733,5.2447035714285715,2.8969177687842302,10.048065357142859,6.714585642267443,2.956517857142857,2.935250114186127,-2.2039410714285728,5.642797474689844,29.8421925,9.479029189538661,1.9189489285714287,3.3076938538807807,-20.026970000000002,8.126714949017035,7.636066071428571,5.9907240879717145,0.7681332142857142,4.4000673626716775,6.965992857142858,4.170028704536288,-4.7653857142857134,3.149558167093172,-6.208432500000001,3.229406434105399,8.58147642857143,5.12600100077252,7.536917857142856,1.904353994197057,0.18834035714285718,0.09490776979347018,0.00025071428571428494,0.02096052680792957,0.47956535714285714,0.182510619169072,0.16765357142857146,0.09288221323947735,-0.0024392857142857146,0.012945055316330525,-0.0348875,0.10762268858859857,-0.031133928571428573,0.022796067152249973,-0.037292500000000006,0.02046098320349846,-0.09507071428571431,0.04325773998582588,0.32486000000000004,0.18449387905210385,-0.039481071428571435,0.04514404050364241,0.3496071428571429,0.2106640303961435
8,3.218060714285715,1.1797596897589864,4.734255,2.8035095008193958,9.757508928571431,6.755559648813249,4.055015714285715,2.894335160804409,-1.672322500000001,5.873622102031759,29.526566071428572,10.148606783812209,2.7011364285714285,3.481268816143835,-18.047550357142857,7.712306131823564,10.994682857142857,7.097285311253146,-1.3277771428571434,4.167252815748097,5.030736428571429,3.800128134796869,-4.084584642857143,2.783485625119688,-4.2351575,2.8468457654729646,7.815837857142857,4.998879827371218,3.9342542857142866,1.390171644465666,0.3767175000000001,0.047291860811755584,-0.015391785714285719,0.03753795323541756,0.5714485714285715,0.25345985500991747,0.31687892857142863,0.110265243707696,0.005906785714285716,0.011272180972359627,0.13112250000000003,0.16213824058678117,-0.03176392857142857,0.021943659779830874,-0.02455214285714286,0.02094039725894992,-0.053216785714285716,0.041736333995837344,0.6618325,0.1564909960637942,-0.03403714285714286,0.049451297747390814,0.6493542857142859,0.36901206597875924
10,4.151701428571429,1.3291766253723631,4.077401428571428,2.7118268308555034,9.365704642857143,6.8302390405755045,5.335434285714285,2.813795188663454,-1.5589610714285718,6.043937353594725,28.788975357142863,10.4426198365849,3.371086785714286,3.7838092541392765,-16.562553928571425,6.848428479171245,13.778748214285715,7.784058709695785,-3.2125546428571425,4.064125448529659,3.9903496428571423,3.2854206379750766,-1.9231332142857145,2.866464329741974,-2.2236017857142856,2.4736173879762586,7.367149285714286,4.865011118889918,2.280847857142857,1.0766894712045565,0.5602367857142856,0.08803954364172308,-0.04382321428571429,0.054137207900465674,0.6687799999999999,0.28592295718629146,0.44461714285714293,0.14364219659002989,0.010565000000000001,0.015583053295166516,0.25591928571428574,0.21213719068689366,-0.03736714285714286,0.02231182281577723,-0.008157857142857144,0.023908436450685844,0.007589999999999999,0.03967024640709962,0.9674867857142856,0.21768524257079164,-0.04141607142857144,0.0685632002994478,0.9322892857142858,0.4525163065436561
12,4.988344285714287,1.5480698403593494,3.5593239285714295,2.651697353396194,9.016840000000004,6.8072430867094695,6.614127857142857,2.798107345146767,-1.5114132142857144,6.0532679308458,27.238551071428578,10.562565638048797,3.7208685714285727,4.0741213969439185,-16.39012892857143,6.855498496476044,14.983107500000001,8.235804077128192,-4.489283214285715,3.9593947919685566,4.402619642857144,3.275050255318737,0.17531035714285714,3.1458124127746667,-1.0311903571428573,2.1869429512339336,7.187632857142859,4.819756411388649,1.5900364285714288,0.9483261567248747,0.686784285714286,0.1184105822950405,-0.06414357142857144,0.058182126003298786,0.6328328571428573,0.2790875928788328,0.5234475000000002,0.1644148095139243,0.011492142857142859,0.017212104608528997,0.3300339285714286,0.2567493497720669,-0.04369464285714286,0.023756715039710816,0.006266428571428571,0.02715713700134626,0.060816785714285726,0.043368033007626136,1.166537142857143,0.2605758277111725,-0.04638500000000001,0.06960935964365714,1.0236835714285715,0.49229972998175614
14,5.634756428571429,1.722372704465054,3.2773521428571426,2.6024579450490455,8.853917857142857,6.72691297818401,7.694776071428572,2.8351069733509164,-1.5414960714285715,5.976280819653506,25.10490821428571,10.539760036349827,3.7916392857142855,4.211242504440601,-16.950660357142855,7.518919294454047,14.955252500000002,8.59117390379169,-5.051880714285714,3.927076102999463,5.328721071428572,3.515787279763501,1.9167157142857143,3.402910944105206,-0.45717357142857146,2.011369861837782,7.157765357142856,4.79505692524422,1.2277585714285715,0.8778997455300054,0.7546571428571429,0.10540667671004027,-0.06757357142857143,0.06049208646364642,0.5106710714285715,0.25968600084583343,0.5618742857142857,0.16872581481227442,0.013077500000000004,0.016657152165638362,0.35466821428571427,0.28162854333601545,-0.04556142857142858,0.025690699187162554,0.021342500000000004,0.029901759901255102,0.11050035714285712,0.054001059835193765,1.2709700000000002,0.24522916378986598,-0.03315357142857144,0.06567267610097625,0.975839642857143,0.5118345135898767
16,5.9764317857142855,1.7566955895467786,3.250690357142858,2.5842558854089925,8.837308571428572,6.684293029682011,8.346245357142859,3.006836838997386,-1.956592142857143,5.9567756088484645,22.88245892857143,10.464514990637351,3.7060442857142855,4.244441586763282,-17.075257142857147,8.387309279997812,14.323030000000003,8.829726499980055,-5.17910642857143,3.9062822117472757,5.985237142857144,4.337726183369717,3.389640714285715,3.5575102148601165,-0.21461464285714285,1.916967781136963,7.183727142857145,4.78184584716055,1.0006675,0.8281496986302334,0.7779378571428573,0.09341218670935919,-0.05921928571428572,0.06498736341241045,0.40841500000000014,0.2415947197668666,0.5694750000000001,0.16685567295166756,0.01845642857142857,0.01987318200960312,0.3394575,0.2779012241700139,-0.043707857142857146,0.02641700499199811,0.03889571428571429,0.035489384212159025,0.15933642857142863,0.07036635686584485,1.3037050000000003,0.22339714784523249,-0.001867142857142857,0.06609414412308126,0.9072089285714287,0.5094768728848572
18,5.935998928571428,1.723676776071987,3.379548571428571,2.5849165301308967,8.938865,6.683486807789202,8.562074999999998,3.0809249254098257,-2.650119285714286,5.943523131512687,20.802945357142857,10.473694172176064,3.464869642857144,4.146316818394584,-16.50943428571429,8.814234070023383,13.48213,8.86318011657389,-5.093712857142857,3.890926986198253,6.255390714285713,4.851294869286826,4.601625714285714,3.6119343518417986,-0.09143321428571428,1.8228359867774162,7.216076428571427,4.77137671254221,0.8534975000000002,0.7877760145125937,0.7898760714285716,0.1133690151872767,-0.04819821428571427,0.06688791619645805,0.34500285714285706,0.2350038513572644,0.5533539285714285,0.16584787700896,0.026580000000000003,0.022219307092983517,0.3014921428571428,0.26212299268674416,-0.038961785714285706,0.026400159426029614,0.057760714285714276,0.04096561188537109,0.20596964285714287,0.0874510713191247,1.3042682142857143,0.24207772677073983,0.0361425,0.06865599160782579,0.852464642857143,0.5005376955890853
