tn,ang1,ang2,ang3,ang4,ang5,ang6,ang7,ang8,ang9
0,10.856164383561644,-0.904,4.842767295597484,32.77213352685051,-0.5209656925031769,-5.026455026455027,2.9461756373937646,2.0051413881748097,12.361809045226131
2,10.727397260273971,-0.5565283966942154,5.186074566537135,33.040950431004475,-0.2644052266323249,-4.516662702399915,5.350673771079514,1.3562111796074916,11.849549531896752
4,10.658801866190192,-0.009488207792209158,5.356267161525835,32.352682796486725,0.278198031692315,-3.8390986469821797,8.490918676498506,-0.3452771369860243,11.35822950270673
6,10.441486274297471,0.6876799999999996,5.134839989387768,31.673794158813593,0.8192745130483392,-3.2096433640067765,12.087057844528381,-2.07438490528365,10.966475219606885
8,10.169063385492807,1.2165279703153993,4.7085639581636585,31.27001159644375,1.6692593846342263,-2.502199113587661,15.591950405438492,-3.57438313552073,10.444546729118144
10,9.875890410958903,1.8128000000000002,4.162205371411893,29.550072568940493,2.5055930367239148,-2.019446926739883,16.94035654558364,-2.5931231853312386,9.7158323286801
12,9.483812853069107,2.4269646753246756,3.7002243214593964,27.37427777494147,3.4116466587877037,-2.284700534929322,15.91371691453936,-0.8020565552699204,9.31612381782588
14,9.306575342465754,3.0307114805194804,3.4448973816472312,25.469881337018908,4.267140508355712,-2.615884584724031,14.655706716750304,1.2763546060348916,9.056800482977334
16,9.051031412998357,3.6510708363636377,3.422663301397324,22.264622094507374,5.049073766989905,-2.998672424037074,12.958630513231636,3.692683366472271,9.143344692266727
18,9.185825888425649,4.090808368358915,3.576609533700222,19.278369569181177,5.8254818922096,-3.4609629033746625,10.91230652791085,5.196915167095119,9.122792955140177
20,9.368266645008752,4.2144899173553725,3.733249059725018,17.139363727199132,6.5603807573312025,-4.004609518577381,8.858528842079977,6.8728180298000865,9.229983098438279
22,9.489629920407168,4.005204703659977,3.4848257848866497,14.99656069413346,6.805448375276264,-4.443539444803241,6.935770251862733,8.594344473007714,9.422308361115302
24,9.60315898713159,3.4991744340023616,3.3286381867270496,12.810422601639061,6.616146997341406,-5.007730290820397,5.3524576492684055,9.77730194780885,9.695119121436193
26,9.678521396213476,3.0404205714285717,3.0806216195382357,10.679696887922926,6.311502136371576,-5.400596794691014,4.644452723553525,10.638560411311058,10.044740678352289
28,9.72087299438699,2.4838400000000003,2.6085854798051358,8.49233059346077,6.089841371925235,-6.013780975704947,5.179198759752543,12.020222490964,10.451272378132487
30,9.768849152634145,1.8198260212514765,2.1989239508716083,6.3739501704325825,5.865086525823502,-6.325257029058019,5.016701291945751,12.960910127942117,10.916289092654793
32,9.87005775443536,1.3901102545454536,1.6126090943891958,4.323215762146264,5.698282822921843,-6.553603394304764,5.329894535085072,13.665385229740188,11.40492154328707
34,10.001464887108126,0.8605487376623372,0.9590138947412228,2.4194468847735218,5.3038188557786325,-6.790767827984558,6.969361261054573,13.967960144031478,11.89824557028318
36,10.132014691284494,0.473131012987013,0.3179648096994412,0.609635457933557,5.043494648207599,-7.09433342852928,9.85148522317489,13.743129073736558,12.310957449099774
38,10.404991066110778,0.019862630460448998,-0.30191487215627866,-1.1921368287538756,5.030846107084989,-7.345106603858716,13.577604429747346,12.815659270721541,12.50131014498011
40,10.53214510601348,-0.3230367290126147,-0.9384218986531825,-3.018863946331469,5.304294707090134,-7.629572948073156,17.583351492699933,11.760237316780112,12.193592375996332
42,10.652809031349829,-0.5831326375442745,-1.591784652182449,-4.822338967565094,4.8941635326641695,-7.868840565368462,21.33349172987297,9.50741187083064,11.699617149064137
44,10.696712644611692,-0.7043555235195442,-2.234288330186079,-6.397677793904197,4.267092713598432,-8.146823485639583,25.24291296547534,7.881837852153201,11.083319710832988
46,10.680101121022616,-0.6620052727272732,-2.8791627434354172,-7.363046207608642,3.5017433166099,-8.469112173262705,29.142732621486168,6.23967866810106,10.173165912274357
48,10.622543541429783,-0.6020318380839934,-3.515739468057756,-8.01699684595294,2.8307709267048518,-8.793693961885145,33.03992170774588,4.413501627198686,9.652998082907116
50,10.503281598523865,-0.546915702479339,-4.087545770396089,-6.782605135454286,2.0154321964995394,-9.268671062151812,37.0383877294231,2.653885099601027,8.912588465190185
52,10.361145247391526,-0.5452814073199526,-4.454848515873844,-4.811307480800228,1.121138234225908,-9.822847089666798,41.10915683968777,0.7840864279604383,8.2087897477095
54,10.17816981608822,-0.7535096972845343,-4.738017786636169,-2.6419200892498944,0.28671943862541077,-10.007993746619391,45.15092391844655,-1.1121172036838283,7.448191349634859
56,9.998149429515703,-1.2257190892224663,-4.991473938473331,-0.4727454398261256,-0.5651465880182537,-9.46370175410731,48.989091402625874,-2.99773582374523,7.232775124589036
58,9.75867691029342,-1.78400180063298,-5.15485474152547,1.7017861440730504,-1.3890252609439413,-8.914285714285713,52.70976130906258,-5.0973739224893535,7.69643490404878
60,9.428529788654863,-2.4230461698301715,-5.040473180704465,3.9396578580232733,-2.1977562638299606,-8.0410357028404,56.62309909774042,-7.069412781210522,8.543571611157528
62,9.182998025720778,-2.823178701298702,-4.567957733752009,6.331954037239903,-3.043025796964805,-7.218543065992591,60.248468336926706,-8.868329714395054,8.700843191498087
64,8.883382695327306,-3.4270535893845304,-3.9505811615854216,8.484308201516887,-3.8550676846420173,-6.62745850801063,63.34360695504806,-10.457047025417944,9.387013931319125
66,8.758043726424459,-4.0499158389610415,-3.4824708908458146,10.615676860354018,-4.3158315485983865,-6.087464408705998,64.49400293574652,-11.52634420233809,10.314633613848706
68,8.80551171332142,-4.646697908326967,-3.3433016810740463,12.805714494096025,-5.18005883901691,-5.436477415669835,62.77062103471681,-10.404411539243192,10.81240890735136
70,8.907851895969824,-5.240951157113563,-3.4356670312848046,14.998482085848169,-5.791075900986959,-4.86052127609606,57.76859265299365,-8.205655526992281,11.689706285771294
72,9.060181745988775,-5.6549376969696965,-3.506458167517203,17.272966580210344,-6.071773591353123,-4.240837281058406,52.96070031890191,-5.863823714326128,12.174693913460327
74,9.184715328789183,-5.744857067296341,-3.3173791759062627,19.61664709614837,-5.53551072483728,-3.6846014378221477,49.01972420342155,-4.126427608755337,13.037822861204287
76,9.237680358528706,-5.478192585596222,-2.8509508815388305,21.821738639448384,-4.830671766504041,-3.11073608631293,44.70099079847323,-2.492873636658592,13.600045758531738
78,9.31296733317833,-4.932177810760672,-2.2808612365520498,24.09890504552494,-4.198497908790156,-2.537635572472821,40.77558114847848,-0.8769615893378573,13.448673603552841
80,9.3962220477557,-4.385493298701302,-1.690889487594528,26.301103407354,-3.4405527162833387,-2.2668371473480677,36.79890470631303,0.716649428383924,13.24823574329167
82,9.534284909848935,-3.808253090909091,-1.042218929035218,28.47055038132122,-2.8884093588794952,-1.7484532545380653,32.51256835446939,2.2618089699752884,13.439114532735868
84,9.702606565957373,-3.2634769038961053,-0.3807228356954482,30.555198051213978,-1.8889437159969646,-1.450458357586502,28.18156471144684,3.9023424825916626,13.899645248575386
86,9.916376676232245,-2.7235964448642296,0.27871736703142647,32.23326806880424,-1.3042535229002807,-2.0130845385909084,23.795275742611256,5.4074153723135785,14.206339615968407
88,10.128770778060534,-2.170584440321584,0.9208190146230311,33.30314363743775,-0.7874657397586795,-2.41118496063902,19.670632708380765,6.283420838277701,14.167779116652518
90,10.308790179941163,-1.6095999999999995,1.5578112494119807,33.57896569866087,-0.4091986851603312,-3.0336657477434876,15.583648737262934,6.1023293795392695,13.91101932324983
92,10.436648483043658,-1.2646814356552545,2.2062431761786607,33.070092314057426,-0.17492077743896967,-3.6395433210596,11.368045081680073,5.171195795062476,13.570179649932303
94,10.511458479975454,-1.0105600000000008,2.8604310110451,32.436423839742325,-0.3102948317803337,-4.254619655855752,7.314785159308181,3.991712298566569,13.189679882040476
96,10.55149999097587,-1.0527439716647005,3.517238634767547,32.09583226861316,-0.34082373299192026,-4.860532335566958,3.8239939331864967,2.4870204091648187,12.983185453024728
98,10.571113477910522,-1.1142399999999995,4.13875245468672,31.920244049114817,-0.6699261035982743,-5.2775686228343845,0.9985059971352696,2.2160858592161183,12.601238379062988
100,10.554794520547944,-1.1087792207792209,4.640910545125396,31.910641742821507,-0.5717916137229988,-5.157923536580316,1.7802037129461183,2.0051413881748097,12.361809045226131
